service_id,date,exception_type
1024,20140913,1
1024,20140914,1
1024,20140915,1
1024,20140916,1
1024,20140917,1
1024,20140918,1
1024,20140920,1
1024,20140921,1
1024,20140922,1
1024,20140923,1
1024,20140924,1
1024,20140925,1
1024,20140927,1
1024,20140928,1
1024,20140929,1
1024,20140930,1
1024,20141001,1
1024,20141003,1
1024,20141004,1
1024,20141005,1
1024,20141006,1
1024,20141007,1
1024,20141008,1
1024,20141009,1
1024,20141011,1
1024,20141012,1
1024,20141013,1
1024,20141014,1
1024,20141015,1
1024,20141016,1
1024,20141018,1
1024,20141019,1
1024,20141020,1
1024,20141021,1
1024,20141022,1
1024,20141023,1
1024,20141025,1
1024,20141026,1
1024,20141027,1
1024,20141028,1
1024,20141029,1
1024,20141030,1
1024,20141101,1
1024,20141102,1
1024,20141103,1
1024,20141104,1
1024,20141105,1
1024,20141106,1
1024,20141108,1
1024,20141109,1
1024,20141110,1
1024,20141111,1
1024,20141112,1
1024,20141113,1
1024,20141115,1
1024,20141116,1
1024,20141117,1
1024,20141118,1
1024,20141119,1
1024,20141120,1
1024,20141122,1
1024,20141123,1
1024,20141124,1
1024,20141125,1
1024,20141126,1
1024,20141127,1
1024,20141129,1
1024,20141130,1
1024,20141201,1
1024,20141202,1
1024,20141203,1
1024,20141204,1
1024,20141206,1
1024,20141207,1
1024,20141208,1
1024,20141209,1
1024,20141210,1
1024,20141211,1
1024,20141213,1
11882,20131216,1
11882,20131217,1
11882,20131218,1
11882,20131219,1
11882,20140102,1
11882,20140103,1
11882,20140106,1
11882,20140107,1
11882,20140108,1
11882,20140109,1
11882,20140113,1
11882,20140114,1
11882,20140115,1
11882,20140116,1
11882,20140120,1
11882,20140121,1
11882,20140122,1
11882,20140123,1
11882,20140127,1
11882,20140128,1
11882,20140129,1
11882,20140130,1
11882,20140203,1
11882,20140204,1
11882,20140205,1
11882,20140206,1
11882,20140207,1
11882,20140210,1
11882,20140211,1
11882,20140212,1
11882,20140213,1
11882,20140214,1
11882,20140217,1
11882,20140218,1
11882,20140219,1
11882,20140220,1
11882,20140221,1
11882,20140224,1
11882,20140225,1
11882,20140226,1
11882,20140227,1
11890,20131215,1
11890,20131222,1
11890,20131228,1
11890,20131229,1
11890,20140104,1
11890,20140105,1
11890,20140111,1
11890,20140112,1
11890,20140118,1
11890,20140119,1
11890,20140125,1
11890,20140126,1
11890,20140201,1
11890,20140202,1
11890,20140208,1
11890,20140209,1
11890,20140215,1
11890,20140216,1
11890,20140222,1
11890,20140223,1
11890,20140301,1
11890,20140302,1
11890,20140308,1
11890,20140309,1
11890,20140315,1
11890,20140316,1
11890,20140322,1
11890,20140323,1
11890,20140329,1
11890,20140330,1
11890,20140405,1
11890,20140406,1
11890,20140412,1
11890,20140413,1
11890,20140419,1
11890,20140420,1
11890,20140421,1
11890,20140426,1
11890,20140427,1
11890,20140501,1
11890,20140503,1
11890,20140504,1
11890,20140510,1
11890,20140511,1
11890,20140517,1
11890,20140518,1
11890,20140524,1
11890,20140525,1
11890,20140529,1
11890,20140531,1
11890,20140601,1
11890,20140607,1
11890,20140608,1
11890,20140609,1
11890,20140614,1
11890,20140615,1
11890,20140621,1
11890,20140622,1
11890,20140628,1
11890,20140629,1
11890,20140705,1
11890,20140706,1
11890,20140712,1
11890,20140713,1
11890,20140719,1
11890,20140720,1
11890,20140721,1
11890,20140726,1
11890,20140727,1
11890,20140802,1
11890,20140803,1
11890,20140809,1
11890,20140810,1
11890,20140815,1
11890,20140816,1
11890,20140817,1
11890,20140823,1
11890,20140824,1
11890,20140830,1
11890,20140831,1
11890,20140906,1
11890,20140907,1
11890,20140913,1
11890,20140914,1
11890,20140920,1
11890,20140921,1
11890,20140927,1
11890,20140928,1
11890,20141004,1
11890,20141005,1
11890,20141011,1
11890,20141012,1
11890,20141018,1
11890,20141019,1
11890,20141025,1
11890,20141026,1
11890,20141101,1
11890,20141102,1
11890,20141108,1
11890,20141109,1
11890,20141111,1
11890,20141115,1
11890,20141116,1
11890,20141122,1
11890,20141123,1
11890,20141129,1
11890,20141130,1
11890,20141206,1
11890,20141207,1
11890,20141213,1
11891,20131216,1
11891,20131217,1
11891,20131218,1
11891,20131219,1
11891,20131220,1
11891,20131221,1
11891,20131223,1
11891,20131224,1
11891,20131226,1
11891,20131227,1
11891,20131230,1
11891,20131231,1
11891,20140102,1
11891,20140103,1
11891,20140104,1
11891,20140106,1
11891,20140107,1
11891,20140108,1
11891,20140109,1
11891,20140110,1
11891,20140111,1
11891,20140113,1
11891,20140114,1
11891,20140115,1
11891,20140116,1
11891,20140117,1
11891,20140118,1
11891,20140120,1
11891,20140121,1
11891,20140122,1
11891,20140123,1
11891,20140124,1
11891,20140125,1
11891,20140127,1
11891,20140128,1
11891,20140129,1
11891,20140130,1
11891,20140131,1
11891,20140201,1
11891,20140203,1
11891,20140204,1
11891,20140205,1
11891,20140206,1
11891,20140207,1
11891,20140208,1
11891,20140210,1
11891,20140211,1
11891,20140212,1
11891,20140213,1
11891,20140214,1
11891,20140215,1
11891,20140217,1
11891,20140218,1
11891,20140219,1
11891,20140220,1
11891,20140221,1
11891,20140222,1
11891,20140224,1
11891,20140225,1
11891,20140226,1
11891,20140227,1
11891,20140228,1
11891,20140301,1
11891,20140303,1
11891,20140304,1
11891,20140305,1
11891,20140306,1
11891,20140307,1
11891,20140308,1
11891,20140310,1
11891,20140311,1
11891,20140312,1
11891,20140313,1
11891,20140314,1
11891,20140315,1
11891,20140317,1
11891,20140318,1
11891,20140319,1
11891,20140320,1
11891,20140321,1
11891,20140322,1
11891,20140324,1
11891,20140325,1
11891,20140326,1
11891,20140327,1
11891,20140328,1
11891,20140329,1
11891,20140331,1
11891,20140401,1
11891,20140402,1
11891,20140403,1
11891,20140404,1
11891,20140405,1
11891,20140407,1
11891,20140408,1
11891,20140409,1
11891,20140410,1
11891,20140411,1
11891,20140412,1
11891,20140414,1
11891,20140415,1
11891,20140416,1
11891,20140417,1
11891,20140418,1
11891,20140419,1
11891,20140422,1
11891,20140423,1
11891,20140424,1
11891,20140425,1
11891,20140426,1
11891,20140428,1
11891,20140429,1
11891,20140430,1
11891,20140502,1
11891,20140503,1
11891,20140505,1
11891,20140506,1
11891,20140507,1
11891,20140509,1
11891,20140510,1
11891,20140512,1
11891,20140513,1
11891,20140514,1
11891,20140515,1
11891,20140516,1
11891,20140517,1
11891,20140519,1
11891,20140520,1
11891,20140521,1
11891,20140522,1
11891,20140523,1
11891,20140524,1
11891,20140526,1
11891,20140527,1
11891,20140528,1
11891,20140530,1
11891,20140531,1
11891,20140602,1
11891,20140603,1
11891,20140604,1
11891,20140605,1
11891,20140606,1
11891,20140607,1
11891,20140610,1
11891,20140611,1
11891,20140612,1
11891,20140613,1
11891,20140614,1
11891,20140616,1
11891,20140617,1
11891,20140618,1
11891,20140619,1
11891,20140620,1
11891,20140621,1
11891,20140623,1
11891,20140624,1
11891,20140625,1
11891,20140626,1
11891,20140627,1
11891,20140628,1
11891,20140630,1
11891,20140701,1
11891,20140702,1
11891,20140703,1
11891,20140704,1
11891,20140705,1
11892,20131215,1
11892,20131216,1
11892,20131217,1
11892,20131218,1
11892,20131219,1
11892,20131220,1
11892,20131222,1
11892,20131223,1
11892,20131224,1
11892,20131225,1
11892,20131226,1
11892,20131227,1
11892,20131229,1
11892,20131230,1
11892,20131231,1
11892,20140101,1
11892,20140102,1
11892,20140103,1
11892,20140105,1
11892,20140106,1
11892,20140107,1
11892,20140108,1
11892,20140109,1
11892,20140110,1
11892,20140112,1
11892,20140113,1
11892,20140114,1
11892,20140115,1
11892,20140116,1
11892,20140117,1
11892,20140119,1
11892,20140120,1
11892,20140121,1
11892,20140122,1
11892,20140123,1
11892,20140124,1
11892,20140126,1
11892,20140127,1
11892,20140128,1
11892,20140129,1
11892,20140130,1
11892,20140131,1
11892,20140202,1
11892,20140203,1
11892,20140204,1
11892,20140205,1
11892,20140206,1
11892,20140207,1
11892,20140209,1
11892,20140210,1
11892,20140211,1
11892,20140212,1
11892,20140213,1
11892,20140214,1
11892,20140216,1
11892,20140217,1
11892,20140218,1
11892,20140219,1
11892,20140220,1
11892,20140221,1
11892,20140223,1
11892,20140224,1
11892,20140225,1
11892,20140226,1
11892,20140227,1
11892,20140228,1
11892,20140302,1
11892,20140303,1
11892,20140304,1
11892,20140305,1
11892,20140306,1
11892,20140307,1
11892,20140309,1
11892,20140310,1
11892,20140311,1
11892,20140312,1
11892,20140313,1
11892,20140314,1
11892,20140316,1
11892,20140317,1
11892,20140318,1
11892,20140319,1
11892,20140320,1
11892,20140321,1
11892,20140323,1
11892,20140324,1
11892,20140325,1
11892,20140326,1
11892,20140327,1
11892,20140328,1
11892,20140330,1
11892,20140331,1
11892,20140401,1
11892,20140402,1
11892,20140403,1
11892,20140404,1
11892,20140406,1
11892,20140407,1
11892,20140408,1
11892,20140409,1
11892,20140410,1
11892,20140411,1
11892,20140413,1
11892,20140414,1
11892,20140415,1
11892,20140416,1
11892,20140417,1
11892,20140418,1
11892,20140420,1
11892,20140421,1
11892,20140422,1
11892,20140423,1
11892,20140424,1
11892,20140425,1
11892,20140427,1
11892,20140428,1
11892,20140429,1
11892,20140430,1
11892,20140501,1
11892,20140504,1
11892,20140505,1
11892,20140506,1
11892,20140507,1
11892,20140508,1
11892,20140511,1
11892,20140512,1
11892,20140513,1
11892,20140514,1
11892,20140515,1
11892,20140516,1
11892,20140518,1
11892,20140519,1
11892,20140520,1
11892,20140521,1
11892,20140522,1
11892,20140523,1
11892,20140525,1
11892,20140526,1
11892,20140527,1
11892,20140528,1
11892,20140529,1
11892,20140601,1
11892,20140602,1
11892,20140603,1
11892,20140604,1
11892,20140605,1
11892,20140606,1
11892,20140608,1
11892,20140609,1
11892,20140610,1
11892,20140611,1
11892,20140612,1
11892,20140613,1
11892,20140615,1
11892,20140616,1
11892,20140617,1
11892,20140618,1
11892,20140619,1
11892,20140620,1
11892,20140622,1
11892,20140623,1
11892,20140624,1
11892,20140625,1
11892,20140626,1
11892,20140627,1
11892,20140629,1
11892,20140630,1
11892,20140701,1
11892,20140702,1
11892,20140703,1
11892,20140704,1
12179,20131215,1
12179,20131216,1
12179,20131222,1
12179,20131223,1
12179,20131226,1
12179,20131229,1
12179,20131230,1
12179,20140102,1
12179,20140105,1
12179,20140106,1
12179,20140112,1
12179,20140113,1
12179,20140119,1
12179,20140120,1
12179,20140126,1
12179,20140127,1
12179,20140202,1
12179,20140203,1
12179,20140209,1
12179,20140210,1
12179,20140216,1
12179,20140217,1
12179,20140223,1
12179,20140224,1
12179,20140302,1
12179,20140303,1
12179,20140309,1
12179,20140310,1
12179,20140316,1
12179,20140317,1
12179,20140323,1
12179,20140324,1
12179,20140330,1
12179,20140331,1
12179,20140406,1
12179,20140407,1
12179,20140413,1
12179,20140414,1
12179,20140420,1
12179,20140421,1
12179,20140422,1
12179,20140427,1
12179,20140428,1
12179,20140502,1
12179,20140504,1
12179,20140505,1
12179,20140511,1
12179,20140512,1
12179,20140518,1
12179,20140519,1
12179,20140525,1
12179,20140526,1
12179,20140530,1
12179,20140601,1
12179,20140602,1
12179,20140608,1
12179,20140609,1
12179,20140610,1
12179,20140615,1
12179,20140616,1
12179,20140622,1
12179,20140623,1
12179,20140629,1
12179,20140630,1
12179,20140706,1
12179,20140707,1
12179,20140713,1
12179,20140714,1
12179,20140720,1
12179,20140721,1
12179,20140722,1
12179,20140727,1
12179,20140728,1
12179,20140803,1
12179,20140804,1
12179,20140810,1
12179,20140811,1
12179,20140816,1
12179,20140817,1
12179,20140818,1
12179,20140824,1
12179,20140825,1
12179,20140831,1
12179,20140901,1
12179,20140907,1
12179,20140908,1
12179,20140914,1
12179,20140915,1
12179,20140921,1
12179,20140922,1
12179,20140928,1
12179,20140929,1
12179,20141005,1
12179,20141006,1
12179,20141012,1
12179,20141013,1
12179,20141019,1
12179,20141020,1
12179,20141026,1
12179,20141027,1
12179,20141102,1
12179,20141103,1
12179,20141109,1
12179,20141110,1
12179,20141112,1
12179,20141116,1
12179,20141117,1
12179,20141123,1
12179,20141124,1
12179,20141130,1
12179,20141201,1
12179,20141207,1
12179,20141208,1
12180,20131221,1
12180,20131228,1
12180,20140104,1
12180,20140111,1
12180,20140118,1
12180,20140125,1
12180,20140201,1
12180,20140208,1
12180,20140215,1
12180,20140222,1
12180,20140301,1
12180,20140308,1
12180,20140315,1
12180,20140322,1
12180,20140329,1
12180,20140405,1
12180,20140412,1
12180,20140419,1
12180,20140426,1
12180,20140503,1
12180,20140510,1
12180,20140517,1
12180,20140524,1
12180,20140531,1
12180,20140607,1
12180,20140614,1
12180,20140619,1
12180,20140621,1
12180,20140628,1
12180,20140705,1
12180,20140712,1
12180,20140719,1
12180,20140726,1
12180,20140802,1
12180,20140809,1
12180,20140816,1
12180,20140823,1
12180,20140830,1
12180,20140906,1
12180,20140913,1
12180,20140920,1
12180,20140927,1
12180,20141003,1
12180,20141004,1
12180,20141011,1
